Puan,Yorum
1,İman esaslarımızı oluşturan temel kitap yüzden herkesin okuması gerektiğini düşünüyorum Bekir Hoca nın çevirisi sayesinde okuması anlaması kolay olmuş Ayrıca iç sayfaların tasarımı iyi kenarlarına not alabilmek boşluklar ayrılmış
1,Okuyunca vayy be insanlar hayatlar varmış neler yaşanmış neler yaşanıyor haberimiz yokmuş diyeceğiniz bir kitap tavsiye ederim severek okudum
1,Hikmetle yoğrulmuş bir ilim Neredeyse tamamını sesli okuyarak eşim çocuklarıma faydalı olmak istedim Aidin Salih Allah ondan razı olsun Karşı çıkanlar olacak yine anlatın diyordu Ben öyle yaptım En itiraz 15 yaşındaki kızımdan gelmesine rağmen 3 günlük açlığı yaptı bile
0,pek bana hitap eden bir kitap değil
1,tarih felsefesine dair yazılarıyla bir ismi barındıran eser tarih bilimi adına büyük bir kazanç
0,ah apollon söze başlamak istiyorum kitap başlangıç kısmında inanılmaz sıkıcı olsa bitime yakın biraz olsa heyecanlı oldu bitirebildim derken bittiğinde bile aklımda sonlanmamış hissi uyanmasını sağladı birçok soru işaretiyle dolu
0,Okudum beğenmedim Bir anlatmaya çalışılmış
0,Keşke boşa mürekkep kağıt harcanmasaymış kitap değil sayfa içinde 3 cümlenin yazdığı abartmıyorum sayfalar topluluğu Boşa kaybolmuş para vakit beklenti
1,Her anne babanın okuması gerektiğini düşünüyorum
0,Yazarın okuduğum son kitabı Bu kitaba verdiğim paraya yazık Tek cümleyle vakit nakit kaybı Konuşma diliyle roman yazılır Bu kitabı sakın almayın okumaya değmez
1,Müzakere konusunda temel kaynaklardan
1,Kitaplığımda yerini aldı
0,Kesinlikle okunması zor bir kitap Sizi hiçcir şekilde içine alamıyor
0,Bahsettigi cennet yasaklı madde Ve ben kitabı 18 yaşın altındaki çocuklara tavsiye etmiyorum
1,Ürün bazında yaşanılan sorunları kısa vadeli ithalat politikalarının sonuçlar doğurduğu tarım hayvancılıkta potansiyelimizin farklı olduğunu yetkili konumlarda ehil insanların durması gerektiğini çarpıcı biçimde gösteren çözüm önerileride sunan bir kitap Teşekkürler Ali Ekber Yıldırım
0,Çok büyük umutla almıştım bilinen şeylerin dışında fazla bir yok
1,Cok guzel bir kitap mutlaka okunmasi gereken bir kitap
1,yazarın anlatımını beğeniyorum hemen hemen birçok eserini okudum kitap oldukça fazla sayfaya sahip olmasına rağmen bi solukta okunuyor aşırı sürükleyici bir eser
0,pek güzel olmamış
1,Erdal Öz kalemine sağlık ışıklar içinde uyu Kitap Yurdu aracılığıyla uygun fiyata hemde indirimli kitaplar elde ettim Herkese tavsiye ediyorum kitabı
1,amirimi okurken özlemeye başladım kadar güzel
1,Polisiye kitapları seviyorsanız mutlaka okumalısınız Heyecan sizi öyle bir sarıyorki zaman okuyup zaman bitirdiğinizi anlamıyorsunuz Ayrıca iskandinav polisiyeleri gerçekten güzel oluyor
0,Binim tam bir hayal kırıklığı zaman kaybıydı Kitap çoğunlukla bizim ABD yaptığımız resm anlaşmalara yer vermiş anlaşmaları yorumlamış ancak bunun dışındaki perde arkasındaki olaylara neredeyse değinmemiş Kitapta fazla tekrar var Ebatı karar bilgi içermiyor maalesef Yanlızca 100 sayfa önsöz ü var Son 80 sayfası zaten kıtasın içinde bir bahsedilen anlaşma metinleri yer almakta Az bir bilgiyi bir yerde tekrarlayarak kitap kalın hale getirilmiş 540 sayfa yerine pekala kolay bir şekilde 100 sayfaya indirilecek bir kitap Ve ülke gündemini takip eden sorgulayan kişilere bir kaç teferruat dışındaki yeni bir vadetmiyor
0,Ben hevesle aldım fakat konu hakkında bilgisi olanları ileriye götürecek bi kitap değil ben beğenmedim Tavsiyede etmem
1,güzel bir hesaplaşma örneği
0,Ben kitabi beynin gizli yapısı hakkında bilgi verdiğini düşünerek almıştım ortaokul seviyesinde bir kişisel gelişim kitabı beklentimi pek karşıladığını söyleyemem
1,Dostoyevskiyi okumaya başlayanlar iyi bir başlangıç kitabı
1,Kısa güzel trajik bir eser
0,Kitabı yazık beğenmedim Bu yazarın görüşleri yüzündendir Tavsiye etmiyorum
0,Kitabın adı hz yusufun hayatı olsa mantıklı olurdu kardeş kıskançlığıyla ilgili pek katmadı emek verilmiş saygı duyuyorum tavsiye etmem
0,İslam kaderi ön plana çıkartırken hayatın alanına müdahale edip düzenlemeler getirmek ister Şüphesiz insana kendi emeğinden başkası verilecek değildir Herkes ancak hak ettiğine erişecektir necm 39 Bu ayeti kerime ışığında tekrardan gözden geçirmenizi tasviye ederim Ayrıca müslümanların bilimden uzaklaşmasının büyük sebebi Kuranı terk edilmiş olarak bırakmalarıdır İslam bir yaşam tarzıdır Kişilerle ilişkilere kadar düzenler Hatta akledin sorgulayın ilme bilime teşvik eder Özetle sorunu hepimiz biliyoruz Çözüm getirecek somut önerilere ihtiyaç var artık Nereden başlayalım derseniz tabi Kuran ı orijinal dilinden okuyup anlamaya çalışmak hayata uygulamaktan Aksine Kuranı terk edilmiş olarak bıraktığımız sürece içinde bulunduğumuz aşağılık kompleks durumdan çıkamayız
1,muhteşem bir kitap şiddetle okumanızı tavsiye ediyorum
1,Alternatif tıp güzel bir kaynak
1,Farklı yorumlarıyla Şeriati zaman düşündürücü ilgi çekici Bu kitabı ilginizi çekecek
0,Dili farkli cümleler karmakarışık ben bitiremedim kitabı sıkıcı geldi
0,devamında Satori isimli kitap okunmalı kesinlikle 2019 okuduğum kitaplarda ilk 5
1,Serinin tamamını ailelere tavsiye ediyorum Sorgulayan eleştiren çocuklar cevap veren değil soru soran düşündüren kitaplara ihtiyacımız var
0,ben hic begenmedim kizimda zoraki dinledi cok kopuk anlamsiz
1,Okuduktan 3 gün sonra bile uçurtmayı vurmasınlar dimi düşündüm beni fazla etkileyen bir kitap
1,Türk kahvesi hakkında çokça bilgi resim içeren güzel bir koleksiyon kitabı Altı üstü bir fincan kahve demeyin sonra üzülürsünüz harika kitap
1,kafes yine merak uyandıran bir kurgu kesinlikle tavsiye ederim okuyanı pişman etmez
1,Doğal yollarla ana hatları zayıflama üzerine değerli tavsiyelerle dolu bir kitap
1,Cevdet Said yine hakikatleri güzel şekilde anlatmış
1,EBU UBEYDE NİN HAYATINI ANLATAN TEK KİTAP CAHİLİYE DÖNEMİ HAKKINDA DA TUHAF BİLGİLER VAR
0,Hiç güzel değil Ne resimleri hikayesi beğenmedim
1,Haydar Ergülen in aldığım ilk kitabı son olmayacak
1,Çocuklara doğadaki diğer varlıkların oluşum büyüme süreçlerinin anlatılması açısından yol gösterici olan kitabı gayet sade faydalı buldum
0,Son derece sarsıcı mükemmel soluksuz okuduğum bir kitap oldu Herkese tavsiye ederim Gözü kapalı alabilirsiniz
0,Oryantalist olabilir güvenmiyorum
0,Aynı konular etrafında dönülmüş gereksiz uzatılmış şişirilmiş bir kitap
1,Kafkan ın kolay anlaşılabilir eserlerinden
1,Türkiye yaşayan herkesin okuması gereken kitaplardan birisi Türkiye nin tarımdaki potansiyeli geçmişinden bugüne bugünde yarına gidişatını bizlere bölüm bölüm özetlemiş
1,Çizimleri şahane koleysiyonluk
1,İyi bir başlangıç kitabı tavsiye ediyorum
1,Harikaydı bitti anlamadım kesinlikle seriyi okumanızı tavsiye ederim
1,Çok güzel bir aşk romanı kesinlikle almalısınız
1,Saramagoysa gözü kapalı alın
0,Ben hikayeleri beğenmedim sıradan geldi anlatımda sarmadı açıkçası
0,2018 Denemesi aynı Boşuna almış oldum tek farkı deneme sayısının azaltılması
1,Kitabı elime aldım bitirdim İnsanlarda ibadetler dini yaşam konusunda farkındalık oluşturabilecek bir kitap Neyi yapamamız gerektiği güzel izah edilmiş Bu kitabı okuyunca sığınacağınız bir bahaneniz artık kalmayacak
0,Kitapta tarih anlatılmıyor akp propagandası yapılıyor
0,Yazar uğraşmış sadece sosyal medyada devam etse iyi olur fikrindeyim
0,ergenlerin kızların büyük tutkuyla okuduğu edebiyattan oldukça uzak Wattpad mantığında kapağı sayfasından ibaret olan oluşum
1,Anaokuluyla ilgili anlatımıyla güzel bir kitap
0,Kitabı çevirenlerin siyasi kişiler olması biraz kendi fikirlerini katmaları hoşuma gitmedi
0,Belgeseli yıllar önce TRT izlemiştim yakın tarihimiz önemli bir belgesel fakat bana gelen DVD si bozuk çıktı Bir arkadaşım tesadüfen kitabı almış onun DVD si bozuk çıkmış Sanırım seride DVD lerde bir sıkıntı var Kitaptan öte DVD sinden izlerim alıyorsanız durum riskli görünüyor
0,Aynı kelimelerin farklı cümlelerde dönüp dolaşıp kullanıldığı bir fantastik denemesi olmuş Düşük cümlelerin fazlalılığı vesaire sıkıcıydı Buna rağmen çıtır çerez hızlıca bitiyor kitabın içeriğinin kadar edebi olduğunu sorgulatıyor Bir tarafta öldürülemez iksiri içip ölen yedili bir grup yerine gelenler diğer tarafta bir asker var
1,Patrick Fanning kitaplarını seven olarak merak ederek aldım açıkçası beni yine mutlu etti İletişim alanında kitabı herkese tavsiye ederim içindeki alıştırmalar uygulamalar kitap zenginleştirilmiş
1,komşunun torununa hediye ettim sevindi
0,kitapta cadısı perisi hayaleti canavarı varda var bir çocuk bence yanlış bir kitap memnun kalmadım
1,Başta sıkılmış olsam bana katan bir kitap oldu kesinlikle tavsiye ederim yalnızca başını biraz sabırla okumalısınız
1,ülkedeki tek tarım yazarından harika bir çalışma gerçekler ortaya koyulmuş
1,Güzel bir hikaye büyük keyifle okudum tavsiye ederim
1,Aslında dosyayı bilmeyen olayı sanığını önceden tanımayan kişilerin soracakları doğrudan sorularla sanık tarafından işlendiği iddia edilen olayı öğrenmeleri bunun yolları detaylı anlatılıyor
0,Okuduğum birçok ezoterik kitap arasında gizli şartlanmalar içerdiğine inandığım bir kitap Mistik gelişim dinleri harmanlayıp sembolik dilini çözerek gerçekleşir Din yandaşlığı değil
1,Cinsiyetçi tabuları yıkan bir kitap
1,Yazar tezinde Osmanlı siyasal toplumsal sisteminin tasavvuftaki ilahi isimler teorisi çevçevesinde oluştuğunu izah ediyor Hiç değinilmeyen bir yerden Osmanlıya ışık tutuyor
1,3 5 yaşındaki oğlum önceleri kitabın yüzüne bakmamıştı şimdi elinden düşürmuyor Çizimleri garip gelmişti bana Yine hikaye şiirler güzel
0,Şimşirgil hocanın bilgisine ilmine kimse bir diyemez Lakin hoca kendi alanıyla ilgili bir şeyler kaleme alsa okuyanlar olarak bizlerin yararına olur
0,Küçük Enes in annesi evde değerli eşya olmadığı oğlunu peygambere hediye ediyor peygamber dahi olsa küçük çocuğa sen değersizsin ben sana danışmadan senin hakkında bütün tasarruflara sahibim senin karşı çıkma hakkin yok demek değil mıdır
0,Çok fazla devrik cümle var ben oğluma okurken zorlandım
1,Asimov okumak mükemmel bir deneyim kitabını öneririm
0,Kitap okunabilirlik olarak basit sade Ama Dünya tarihine yön veren hatta şekillenmesine sebep olan Osmanlı İmparatorluğuna Hz Muhammed e kısa yer vermesi oldukça şaşırtıcı Özellikle belirtilmediği yazarın yorumlarından net bir şekilde anlaşılıyor
1,yeni bir şeyler öğrenmek istiyorsanız buyurun
1,Çok eğlenceli resimleri güzel
0,ahmet uluçay iyi
1,Cüceloğlu nun güçlü bir kadınla yaptığı röportaj
1,Kadın Tek kelimeye kadar hayat sığar Okuyun gerçeklerle yüzleşin
0,karl marx ın anlatılmadığı bir sosyoloji sözlüğü
1,Çocuklar keyifli bir seri
0,Dili aşırı ağır Çok sıkıldığım kitap
0,artık hatıce kubranın kıtaplarını almayacagm kesın aynı seyler
1,su akan şiirler bitmesin istiyor insan
1,tam olarak beklentimi karşılamasa önerrim güzel
0,açıkcası eskilerin efsana isimlerinden atillayı bir kenara bırakarak başka bir kişi olan jonas aşkı anlatmış beğenmedim
0,anlaması zor karışık bir kitap
1,Kitaptaki çarpıcı bölüm İşid in Saddam devrilmeden hemen önce İsrail Barzani ortaklığıyla kurulduğuna dair bir belgenin yer alması Yazarın dediği belgenin doğruluğu kesin değil fakat İşid in varlığına varlığın yaptıklarına baktığımızda kazanan küresel olarak İslamifobiye dayalı siyaseti seven İsrail bölgesel olarak Kürt yapılanmaları Okunması gereken bir eser
1,Çok güzel bir seri 3 yaşa kadar ideal
